,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
1789,Georg MargreitterG. Margreitter,21,Austria,Środkowy obrońca,ŚOB,550 tys. €,Austria,Austria Wiedeń,Bez odstępnego,Sprzedaż,LASK,2010/2011
1790,Mark PrettenthalerM. Prettenthaler,27,Austria,Lewy obrońca,LOB,300 tys. €,Austria,SV Ried,Bez odstępnego,Sprzedaż,LASK,2010/2011
1791,Gardar GunnlaugssonG. Gunnlaugsson,27,Islandia,Środkowy napastnik,ŚNP,300 tys. €,Niemcy,Unterhaching,Bez odstępnego,Sprzedaż,LASK,2010/2011
1792,Paul BichelhuberP. Bichelhuber,23,Austria,Ofensywny pomocnik,OPM,200 tys. €,Austria,Admira Wacker,Bez odstępnego,Sprzedaż,LASK,2010/2011
1793,Siegfried RasswalderS. Rasswalder,23,Austria,Lewy obrońca,LOB,100 tys. €,Austria,SV Horn,Bez odstępnego,Sprzedaż,LASK,2010/2011
1794,Vidas AlunderisV. Alunderis,31,Litwa,Prawy obrońca,POB,300 tys. €,Rosja,Baltika,Bez odstępnego,Sprzedaż,LASK,2010/2011
1795,Sandro ZakanyS. Zakany,22,Austria,Środkowy pomocnik,ŚPM,125 tys. €,Austria,WAC - St. Andrä,Bez odstępnego,Sprzedaż,LASK,2010/2011
1796,Thomas KrammerT. Krammer,27,Austria,Defensywny pomocnik,DPM,250 tys. €,Austria,Grödig,?,Sprzedaż,LASK,2010/2011
1797,Daniel SobkovaD. Sobkova,25,Austria,Napastnik,Napastnik,250 tys. €,Austria,Grödig,?,Sprzedaż,LASK,2010/2011
1798,Michael ZaglmairM. Zaglmair,22,Austria,Bramkarz,BRK,200 tys. €,-,Bez klubu,-,Sprzedaż,LASK,2010/2011
1799,David SchartnerD. Schartner,21,Austria,Bramkarz,BRK,150 tys. €,Austria,RB Juniors,Bez odstępnego,Kupno,SV Mattersburg,2010/2011
1800,Stefan IlsankerS. Ilsanker,21,Austria,Defensywny pomocnik,DPM,325 tys. €,Austria,RB Juniors,Bez odstępnego,Kupno,SV Mattersburg,2010/2011
1801,Thorsten RöcherT. Röcher,19,Austria,Lewy napastnik,LNP,-,Austria,Gloggnitz,?,Kupno,SV Mattersburg,2010/2011
1802,Ivan ParlovI. Parlov,26,Chorwacja,Środkowy pomocnik,ŚPM,450 tys. €,Chorwacja,NK Zagreb,?,Kupno,SV Mattersburg,2010/2011
1803,Patrick BürgerP. Bürger,23,Austria,Środkowy napastnik,ŚNP,300 tys. €,Austria,TSV Hartberg,?,Kupno,SV Mattersburg,2010/2011
1804,Tomas SedlakT. Sedlak,27,Słowacja,Defensywny pomocnik,DPM,100 tys. €,Słowacja,Ruzomberok,Bez odstępnego,Sprzedaż,SV Mattersburg,2010/2011
1805,Mario LöschM. Lösch,20,Austria,Defensywny pomocnik,DPM,75 tys. €,Austria,SC Ritzing,Bez odstępnego,Sprzedaż,SV Mattersburg,2010/2011
1806,Josef HamouzJ. Hamouz,30,Czechy,Lewy obrońca,LOB,200 tys. €,Czechy,Zbrojovka Brno,Bez odstępnego,Sprzedaż,SV Mattersburg,2010/2011
1807,Thomas WagnerT. Wagner,33,Austria,Środkowy napastnik,ŚNP,250 tys. €,Austria,Stegersbach,Bez odstępnego,Sprzedaż,SV Mattersburg,2010/2011
1808,Cem AtanCem Atan,25,Austria,Środkowy napastnik,ŚNP,550 tys. €,Turcja,Genclerbirligi,?,Sprzedaż,SV Mattersburg,2010/2011
1809,Carsten JanckerC. Jancker,35,Niemcy,Środkowy napastnik,ŚNP,-,-,Koniec kariery,-,Sprzedaż,SV Mattersburg,2010/2011
1810,Ostoja StjepanovicO. Stjepanovic,25,Macedonia Północna,Defensywny pomocnik,DPM,150 tys. €,-,Bez klubu,-,Sprzedaż,SV Mattersburg,2010/2011
1811,Matej MavricM. Mavric,31,Słowenia,Środkowy obrońca,ŚOB,750 tys. €,Niemcy,TuS Koblenz,Bez odstępnego,Kupno,SV Kapfenberg,2010/2011
1812,Umut KocinU. Kocin,22,Turcja,Ofensywny pomocnik,OPM,400 tys. €,Turcja,Kayserispor,Bez odstępnego,Kupno,SV Kapfenberg,2010/2011
1813,Dominik ScherrD. Scherr,18,Austria,Ofensywny pomocnik,OPM,-,Austria,FC Gleisdorf 09,14 tys. €,Kupno,SV Kapfenberg,2010/2011
1814,Naim SharifiNaim Sharifi,18,Rosja,Prawy obrońca,POB,75 tys. €,Rosja,Loko Moskau II,?,Kupno,SV Kapfenberg,2010/2011
1815,Ibrahim BingölI. Bingöl,16,Austria,Środkowy pomocnik,ŚPM,-,Austria,Großklein Jgd,?,Kupno,SV Kapfenberg,2010/2011
1816,Filip GacevskiF. Gacevski,19,Macedonia Północna,Bramkarz,BRK,50 tys. €,Słowenia,NS Mura,?,Kupno,SV Kapfenberg,2010/2011
1817,Tomasz WelnickiT. Welnicki,20,Polska,Środkowy obrońca,ŚOB,100 tys. €,Niemcy,Nürnberg II,?,Kupno,SV Kapfenberg,2010/2011
1818,Ralph SpirkR. Spirk,23,Austria,Defensywny pomocnik,DPM,150 tys. €,-,Bez klubu,-,Kupno,SV Kapfenberg,2010/2011
1819,Markus ScharrerM. Scharrer,36,Austria,Ofensywny pomocnik,OPM,-,Austria,Seekirchen,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1820,Mario MajstorovicM. Majstorovic,33,Austria,Środkowy obrońca,ŚOB,200 tys. €,Austria,Columbia,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1821,Claudio LippC. Lipp,19,Austria,Prawy obrońca,POB,-,Austria,SC Weiz,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1822,Marek HeinzM. Heinz,32,Czechy,Środkowy napastnik,ŚNP,550 tys. €,Węgry,Ferencváros,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1823,Patrick OsoinikP. Osoinik,25,Austria,Prawy obrońca,POB,400 tys. €,Austria,Vienna,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1824,Robert SchellanderR. Schellander,27,Austria,Lewy obrońca,LOB,400 tys. €,Austria,LASK,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1825,Georg KrennG. Krenn,19,Austria,Ofensywny pomocnik,OPM,100 tys. €,Austria,FC Admira II,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1826,Patrik SieglP. Siegl,34,Czechy,Defensywny pomocnik,DPM,325 tys. €,Czechy,Fotbal Trinec,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1827,Martin EislM. Eisl,27,Austria,Bramkarz,BRK,175 tys. €,Austria,Grödig,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1828,Andreas LienhartA. Lienhart,24,Austria,Prawy obrońca,POB,250 tys. €,Austria,SCR Altach,Bez odstępnego,Sprzedaż,SV Kapfenberg,2010/2011
1829,Antonio di SalvoA. di Salvo,31,Włochy,Środkowy napastnik,ŚNP,200 tys. €,-,Koniec kariery,-,Sprzedaż,SV Kapfenberg,2010/2011
1830,Mazan MosleheM. Moslehe,20,Liban,Środkowy napastnik,ŚNP,50 tys. €,-,Bez klubu,-,Sprzedaż,SV Kapfenberg,2010/2011
1831,Gerald GanstererG. Gansterer,27,Austria,Środkowy obrońca,ŚOB,400 tys. €,-,Bez klubu,-,Sprzedaż,SV Kapfenberg,2010/2011
1832,Tomas AbrahamT. Abraham,31,Czechy,Defensywny pomocnik,DPM,500 tys. €,Czechy,Slovácko,Bez odstępnego,Kupno,FC Wacker Innsbruck,2010/2011
1833,Andreas BammerA. Bammer,25,Austria,Środkowy napastnik,ŚNP,275 tys. €,Austria,SCR Altach,Bez odstępnego,Kupno,FC Wacker Innsbruck,2010/2011
1834,Miran BurgicM. Burgic,25,Słowenia,Środkowy napastnik,ŚNP,600 tys. €,Szwecja,AIK Solna,Bez odstępnego,Kupno,FC Wacker Innsbruck,2010/2011
1835,Harald PichlerH. Pichler,23,Austria,Środkowy obrońca,ŚOB,200 tys. €,Austria,RB Juniors,Bez odstępnego,Kupno,FC Wacker Innsbruck,2010/2011
1836,Iñaki BeaI. Bea,32,Hiszpania,Środkowy obrońca,ŚOB,500 tys. €,Hiszpania,Real Murcia,Bez odstępnego,Kupno,FC Wacker Innsbruck,2010/2011
1837,Christopher WernitznigC. Wernitznig,20,Austria,Lewy pomocnik,LPM,-,Austria,Villacher SV,?,Kupno,FC Wacker Innsbruck,2010/2011
1838,Ernst ÖbsterE. Öbster,26,Austria,Ofensywny pomocnik,OPM,325 tys. €,-,Bez klubu,-,Kupno,FC Wacker Innsbruck,2010/2011
